model,audio_id,language,cmi_band,noise,domain,latency_s,audio_seconds,werr_strict,wlen_strict,cerr_strict,clen_strict,werr_loose,wlen_loose,cerr_loose,clen_loose,werr_numeric,wlen_numeric,cerr_numeric,clen_numeric,amount_hits,amount_total,refnum_hits,refnum_total,negation_ref,negation_kept
whisper_large_v3,afriswitch_yoruba_00022,yoruba,high,unknown,general,4.719,,30,20,63,81,30,20,61,81,30,20,61,81,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00023,yoruba,low,unknown,general,2.187,,35,35,143,152,35,35,143,152,35,35,143,152,0,0,0,0,0,0
whisper_large_v3,afriswitch_yoruba_00024,yoruba,high,unknown,general,4.672,,28,42,54,173,26,42,48,173,26,42,48,173,0,0,0,0,4,2
whisper_small,afriswitch_yoruba_00000,yoruba,medium,unknown,general,123.843,,27,32,85,125,27,32,84,125,27,32,84,125,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00001,yoruba,low,unknown,general,95.688,,18,18,62,80,18,18,62,80,18,18,62,80,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00002,yoruba,low,unknown,general,83.015,,25,25,111,99,25,25,111,99,25,25,111,99,0,0,0,0,3,0
whisper_small,afriswitch_yoruba_00003,yoruba,medium,unknown,general,89.672,,37,38,104,141,37,38,104,141,37,38,104,141,0,0,0,0,4,0
whisper_small,afriswitch_yoruba_00004,yoruba,high,unknown,general,91.938,,34,34,116,150,34,34,114,150,34,34,114,150,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00005,yoruba,low,unknown,general,110.031,,43,43,157,169,43,43,156,169,43,43,156,169,0,0,0,0,1,0
whisper_small,afriswitch_yoruba_00006,yoruba,low,unknown,general,79.89,,9,9,28,33,9,9,28,33,9,9,28,33,0,0,0,0,2,0
whisper_small,afriswitch_yoruba_00007,yoruba,low,unknown,general,107.407,,41,42,137,158,41,42,138,158,41,42,138,158,0,0,0,0,5,0
whisper_small,afriswitch_yoruba_00008,yoruba,low,unknown,general,108.468,,16,12,61,46,16,12,61,46,16,12,61,46,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00009,yoruba,low,unknown,general,188.032,,20,20,106,62,20,20,107,60,20,20,107,60,0,0,0,0,2,0
whisper_small,afriswitch_yoruba_00010,yoruba,medium,unknown,general,308.797,,37,40,128,156,37,40,128,156,37,40,129,154,1,1,0,0,1,0
whisper_small,afriswitch_yoruba_00011,yoruba,high,unknown,general,233.735,,33,34,133,161,33,34,133,161,33,34,133,161,0,0,0,0,2,0
whisper_small,afriswitch_yoruba_00012,yoruba,low,unknown,general,219.797,,43,43,148,173,43,43,147,173,43,43,147,173,0,0,0,0,1,0
whisper_small,afriswitch_yoruba_00013,yoruba,high,unknown,general,207.296,,14,14,39,52,14,14,39,52,14,14,38,50,0,1,0,0,1,0
whisper_small,afriswitch_yoruba_00014,yoruba,high,unknown,general,15.406,,7,8,12,36,7,8,12,36,7,8,12,36,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00015,yoruba,medium,unknown,general,170.25,,9,8,34,29,9,8,34,29,9,8,34,29,0,0,0,0,1,0
whisper_small,afriswitch_yoruba_00016,yoruba,medium,unknown,general,164.828,,11,11,41,49,11,11,41,49,11,11,41,49,0,0,0,0,2,0
whisper_small,afriswitch_yoruba_00017,yoruba,medium,unknown,general,217.578,,12,12,43,51,12,12,40,51,12,12,40,51,0,0,0,0,1,0
whisper_small,afriswitch_yoruba_00018,yoruba,medium,unknown,general,226.406,,62,31,199,108,62,31,196,108,62,31,196,108,0,0,0,0,2,0
whisper_small,afriswitch_yoruba_00019,yoruba,high,unknown,general,239.875,,12,11,46,57,12,11,46,57,12,11,46,57,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00020,yoruba,high,unknown,general,638.422,,34,35,108,132,34,35,107,132,34,35,106,130,0,1,0,0,2,0
whisper_small,afriswitch_yoruba_00021,yoruba,high,unknown,general,255.015,,31,33,113,150,31,33,113,150,31,33,113,150,0,0,0,0,2,0
whisper_small,afriswitch_yoruba_00022,yoruba,high,unknown,general,259.016,,19,20,59,81,19,20,59,81,19,20,59,81,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00023,yoruba,low,unknown,general,290.688,,35,35,142,152,35,35,132,152,35,35,132,152,0,0,0,0,0,0
whisper_small,afriswitch_yoruba_00024,yoruba,high,unknown,general,280.734,,42,42,144,173,42,42,142,173,42,42,142,173,0,0,0,0,4,0
